Date,Anomaly,co2
1959,-0.048004825,315.98
1960,-0.115487024,316.91
1961,-0.019997388,317.64
1962,-0.06405444,318.45
1963,-0.03680589,318.99
1964,-0.30586675,319.62
1965,-0.2043879,320.04
1966,-0.14888458,321.37
1967,-0.11751631,322.18
1968,-0.1686323,323.05
1969,-0.031366713,324.62
1970,-0.08510657,325.68
1971,-0.20593274,326.32
1972,-0.0938271,327.46
1973,0.04993336,329.68
1974,-0.17253734,330.19
1975,-0.11075424,331.13
1976,-0.21586166,332.03
1977,0.10308852,333.84
1978,0.0052557723,335.41
1979,0.09085813,336.84
1980,0.19607207,338.76
1981,0.25001204,340.12
1982,0.034263328,341.48
1983,0.22383861,343.15
1984,0.04800471,344.87
1985,0.04972978,346.35
1986,0.09568697,347.61
1987,0.2430264,349.31
1988,0.28215173,351.69
1989,0.17925027,353.2
1990,0.36056247,354.45
1991,0.33889654,355.7
1992,0.124896795,356.54
1993,0.16565846,357.21
1994,0.23354977,358.96
1995,0.37686616,360.97
1996,0.2766894,362.74
1997,0.4223085,363.88
1998,0.57731646,366.84
1999,0.32448497,368.54
2000,0.3310848,369.71
2001,0.48928034,371.32
2002,0.5434665,373.45
2003,0.5441702,375.98
2004,0.46737072,377.7
2005,0.60686255,379.98
2006,0.5725527,382.09
2007,0.5917013,384.02
2008,0.46564984,385.83
2009,0.5967817,387.64
2010,0.68037146,390.1
2011,0.53769773,391.85
2012,0.5776071,394.06
2013,0.6235754,396.74
2014,0.67287165,398.81
2015,0.82511437,401.01
2016,0.93292713,404.41
2017,0.84517425,406.76
2018,0.762654,408.72
2019,0.8910726,411.65
2020,0.9227938,414.21
2021,0.7618559,416.41
2022,0.80128413,418.53
